α \alpha
β \beta
γ \gamma
δ \delta
ε \varepsilon
ζ \zeta
η \eta
θ \theta
ι \iota
κ \kappa
λ \lambda
μ \mu
ν \nu
ξ \xi
ο \omicron
π \pi
ρ \rho
σ \sigma
τ \tau
υ \upsilon
φ \varphi
χ \chi
ψ \psi
ω \omega
Γ \Gamma
Δ \Delta
Θ \Theta
Λ \Lambda
Ξ \Xi
Π \Pi
Σ \Sigma
Φ \Phi
Ψ \Psi
Ω \Omega
¬ \neg
× \times
÷ \div
ς \varsigma
ϑ \vartheta
ϕ \phi
ϖ \varpi
ϰ \varkappa
ϱ \varrho
ϵ \epsilon
ג \gimel
𝒸 \mathscrc
𝒹 \mathscrd
𝒻 \mathscrf
𝓌 \mathscrw
𝓏 \mathscrz
ℂ \C
ℌ \mathfrakH
ℍ \mathbbH
ℑ \mathfrakI
ℕ \mathbbN
℘ \wp
ℙ \mathbbP
ℚ \Q
ℜ \mathfrakR
ℝ \mathbbR
ℤ \mathbbZ
ℨ \mathfrakZ
ℭ \mathfrakC
ℵ \aleph
ℶ \beth
← \leftarrow
↑ \uparrow
→ \rightarrow
a̅ \overlinea
b̅ \overlineb
c̅ \overlinec
d̅ \overlined
e̅ \overlinee
f̅ \overlinef
g̅ \overlineg
h̅ \overlineh
i̅ \overlinei
j̅ \overlinej
k̅ \overlinek
l̅ \overlinel
m̅ \overlinem
n̅ \overlinen
o̅ \overlineo
p̅ \overlinep
q̅ \overlineq
r̅ \overliner
s̅ \overlines
t̅ \overlinet
u̅ \overlineu
v̅ \overlinev
w̅ \overlinew
x̅ \overlinex
y̅ \overliney
z̅ \overlinez
A̅ \overlineA
B̅ \overlineB
C̅ \overlineC
D̅ \overlineD
E̅ \overlineE
F̅ \overlineF
G̅ \overlineG
H̅ \overlineH
I̅ \overlineI
J̅ \overlineJ
K̅ \overlineK
L̅ \overlineL
M̅ \overlineM
N̅ \overlineN
O̅ \overlineO
P̅ \overlineP
Q̅ \overlineQ
R̅ \overlineR
S̅ \overlineS
T̅ \overlineT
U̅ \overlineU
V̅ \overlineV
W̅ \overlineW
X̅ \overlineX
Y̅ \overlineY
Z̅ \overlineZ
↓ \downarrow
↔ \leftrightarrow
↖ \nwarrow
↗ \nearrow
↘ \searrow
↙ \swarrow
↞ \twoheadleftarrow
↠ \twoheadrightarrow
↢ \leftarrowtail
↣ \rightarrowtail
↦ \mapsto
↩ \hookleftarrow
↪ \hookrightarrow
⇀ \rightharpoonup
⇁ \rightharpoondown
⇋ \leftrightharpoons
⇌ \rightleftharpoons
⇐ \Leftarrow
⇍ \not\Leftarrow
⇑ \Uparrow
⇒ \Rightarrow
⇏ \not\Rightarrow
⇓ \Downarrow
⇔ \Leftrightarrow
⇝ \rightsquigarrow
∀ \forall
∂ \partial
∃ \exists
∄ \not\exists
∅ \emptyset
∇ \nabla
∈ \in
∉ \not\in
∋ \ni
∌ \not\ni
∏ \prod
∐ \coprod
∑ \sum
∔ \dotplus
∓ \mp
± \pm
∖ \setminus
∘ \circ
∙ \bullet
√ \sqrt
∛ \3root
∜ \4root
∝ \propto
∞ \infty
∠ \angle
∡ \measuredangle
∢ \sphericalangle
∣ \mid
∤ \not\mid
∥ \parallel
∦ \not\parallel
∧ \wedge
∨ \vee
∩ \cap
∪ \cup
⊔ \sqcup
⊓ \sqcap
∫ \int
∬ \iint
∭ \iiint
∱ \intclockwise
⨑ \intctrclockwise
∮ \oint
∲ \varointclockwise
∳ \ointctrclockwise
∯ \surfintegral
∰ \volintegral
∴ \therefore
∵ \because
∼ \sim
∽ \backsim
∾ \lazysinv
≀ \wr
≁ \not\sim
≃ \simeq
≄ \not\simeq
≅ \cong
≆ \approxnotequal
≇ \not\cong
≈ \approx
≊ \approxeq
≋ \tildetrpl
≌ \allequal
≍ \asymp
≐ \doteq
≑ \doteqdot
≠ \neq
≡ \equiv
≣ \Equiv
≢ \nequiv
≤ \leq
≥ \geq
≦ \leqq
≧ \geqq
≨ \lneqq
≩ \gneqq
≪ \ll
≫ \gg
≮ \nless
≯ \ngtr
≰ \nleq
≱ \ngeq
≲ \lessequivlnt
≳ \greaterequivlnt
≺ \prec
≻ \succ
≼ \preccurlyeq
≽ \succcurlyeq
≾ \precapprox
≿ \succapprox
⊀ \nprec
⊁ \nsucc
⊂ \subset
⊃ \supset
⊄ \not\subset
⊅ \not\supset
⊆ \subseteq
⊇ \supseteq
⊈ \not\subseteq
⊉ \not\supseteq
⊊ \subsetneq
⊋ \supsetneq
⊕ \earth
⊖ \ominus
⊗ \otimes
⊘ \oslash
⊙ \odot
⊢ \vdash
⊤ \top
⊥ \bot
⊨ \vDash
⊻ \veebar
⋂ \bigcap
⋃ \bigcup
⋅ \cdot
⌈ \lceil
⌉ \rceil
⌊ \lfloor
⌋ \rfloor
□ \Box
♭ \flat
♮ \natural
♯ \sharp
⟨ \langle
⟩ \rangle
⟸ \Leftarrow
⟹ \Rightarrow
⟺ \Leftrightarrow
⨌ \iiiint
⩽ \leqslant
⩾ \geqslant
⪇ \lneq
⪈ \gneq
⪯ \preceq
⪰ \succeq
⪵ \precneqq
⪶ \succneqq
𝔄 \mathfrakA
𝔅 \mathfrakB
𝔇 \mathfrakD
𝔈 \mathfrakE
𝔉 \mathfrakF
𝔊 \mathfrakG
𝔍 \mathfrakJ
𝔎 \mathfrakK
𝔏 \mathfrakL
𝔐 \mathfrakM
𝔑 \mathfrakN
𝔒 \mathfrakO
𝔓 \mathfrakP
𝔔 \mathfrakQ
𝔖 \mathfrakS
𝔗 \mathfrakT
𝔘 \mathfrakU
𝔙 \mathfrakV
𝔛 \mathfrakX
𝔜 \mathfrakY
𝔞 \mathfraka
𝔟 \mathfrakb
𝔠 \mathfrakc
𝔡 \mathfrakd
𝔢 \mathfrake
𝔣 \mathfrakf
𝔤 \mathfrakg
𝔥 \mathfrakh
𝔦 \mathfraki
𝔧 \mathfrakj
𝔨 \mathfrakk
𝔩 \mathfrakl
𝔪 \mathfrakm
𝔫 \mathfrakn
𝔬 \mathfrako
𝔭 \mathfrakp
𝔮 \mathfrakq
𝔯 \mathfrakr
𝔰 \mathfraks
𝔱 \mathfrakt
𝔲 \mathfraku
𝔳 \mathfrakv
𝔵 \mathfrakx
𝔶 \mathfraky
𝔷 \mathfrakz
𝔚 \mathfrakW
𝔴 \mathfrakw
𝔸 \mathbbA
𝔹 \mathbbB
𝔻 \mathbbD
𝔼 \mathbbE
𝔽 \mathbbF
𝔾 \mathbbG
𝕀 \mathbbI
𝕁 \mathbbJ
𝕂 \mathbbK
𝕃 \mathbbL
𝕄 \mathbbM
𝕆 \mathbbO
𝕊 \mathbbS
𝕋 \mathbbT
𝕌 \mathbbU
𝕍 \mathbbV
𝕎 \mathbbW
𝕏 \mathbbX
𝕐 \mathbbY
𝕒 \mathbba
𝕓 \mathbbb
𝕔 \mathbbc
𝕕 \mathbbd
𝕖 \mathbbe
𝕗 \mathbbf
𝕘 \mathbbg
𝕙 \mathbbh
𝕚 \mathbbi
𝕛 \mathbbj
𝕜 \mathbbk
𝕝 \mathbbl
𝕞 \mathbbm
𝕟 \mathbbn
𝕠 \mathbbo
𝕡 \mathbbp
𝕢 \mathbbq
𝕣 \mathbbr
𝕤 \mathbbs
𝕥 \mathbbt
𝕦 \mathbbu
𝕧 \mathbbv
𝕨 \mathbbw
𝕩 \mathbbx
𝕪 \mathbby
𝕫 \mathbbz
𝟘 \mathbb0
𝟙 \mathbb1
𝟚 \mathbb2
𝟛 \mathbb3
𝟜 \mathbb4
𝟝 \mathbb5
𝟞 \mathbb6
𝟟 \mathbb7
𝟠 \mathbb8
𝟡 \mathbb9
𝒶 \mathscra
𝒜 \mathscrA
𝒷 \mathscrb
𝐵 \mathscrB
𝒞 \mathscrC
𝒟 \mathscrD
𝑒 \mathscre
𝐸 \mathscrE
𝐹 \mathscrF
𝑔 \mathscrg
𝒢 \mathscrG
𝒽 \mathscrh
𝐻 \mathscrH
𝒾 \mathscri
𝐼 \mathscrI
𝒿 \mathscrj
𝒥 \mathscrJ
𝓀 \mathscrk
𝒦 \mathscrK
𝓁 \mathscrl
𝐿 \mathscrL
𝓂 \mathscrm
𝑀 \mathscrM
𝓃 \mathscrn
𝒩 \mathscrN
𝑜 \mathscro
𝒪 \mathscrO
𝓅 \mathscrp
𝒫 \mathscrP
𝓆 \mathscrq
𝒬 \mathscrQ
𝓇 \mathscrr
𝑅 \mathscrR
𝓈 \mathscrs
𝒮 \mathscrS
𝓉 \mathscrt
𝒯 \mathscrT
𝓊 \mathscru
𝒰 \mathscrU
𝓋 \mathscrv
𝒱 \mathscrV
𝒲 \mathscrW
𝓍 \mathscrx
𝒳 \mathscrX
𝓎 \mathscry
𝒴 \mathscrY
𝒵 \mathscrZ
𝚊 \monoa
𝙰 \monoA
𝚋 \monob
𝙱 \monoB
𝚌 \monoc
𝙲 \monoC
𝚍 \monod
𝙳 \monoD
𝚎 \monoe
𝙴 \monoE
𝚏 \monof
𝙵 \monoF
𝚐 \monog
𝙶 \monoG
𝚑 \monoh
𝙷 \monoH
𝚒 \monoi
𝙸 \monoI
𝚓 \monoj
𝙹 \monoJ
𝚔 \monok
𝙺 \monoK
𝚕 \monol
𝙻 \monoL
𝚖 \monom
𝙼 \monoM
𝚗 \monon
𝙽 \monoN
𝚘 \monoo
𝙾 \monoO
𝚙 \monop
𝙿 \monoP
𝚚 \monoq
𝚀 \monoQ
𝚛 \monor
𝚁 \monoR
𝚜 \monos
𝚂 \monoS
𝚝 \monot
𝚃 \monoT
𝚞 \monou
𝚄 \monoU
𝚟 \monov
𝚅 \monoV
𝚠 \monow
𝚆 \monoW
𝚡 \monox
𝚇 \monoX
𝚢 \monoy
𝚈 \monoY
𝚣 \monoz
𝚉 \monoZ
♠ \spadesuit
♡ \heartsuit
♣ \clubsuit
♢ \diamondsuit
♤ \varspadesuit
♥ \varheartsuit
♧ \varclubsuit
♦ \vardiamondsuit
¶ \par
§ \S
◢ \lrblacktriangle
◣ \llblacktriangle
◤ \ulblacktriangle
◥ \urblacktriangle
▼ \bigblacktriangledown
▲ \bigblacktriangleup
▴ \blacktriangle
▾ \blacktriangledown
◀ \blacktriangleleft
▶ \blacktriangleright
™ \texttrademark
© \copyright
® \circledR
ħ \hbar
ℏ \hslash
† \dagger
‡ \ddagger
˜ \smalltilde
♈︎ \aries
♉︎ \taurus
♊︎ \gemini
♋︎ \cancer
♌︎ \leo
♍︎ \virgo
♎︎ \libra
♏︎ \scorpio
♐︎ \sagittarius
♑︎ \capricorn
♒︎ \aquarius
♓︎ \pisces
☉ \sun
☾ \moon
☿ \mercury
♀ \female
♂ \male
⚳ \ceres
♃ \jupiter
♄ \saturn
♅ \uranus
♆ \neptune
♇ \pluto
− -
½ \frac12
⅓ \frac13
⅔ \frac23
¼ \frac14
¾ \frac34
⅕ \frac15
⅖ \frac25
⅗ \frac35
⅘ \frac45
⅙ \frac16
⅚ \frac56
⅛ \frac18
⅜ \frac38
⅝ \frac58
⅞ \frac78
℅ \co
∎ \QED
Ω \ohm
⩢ \doublebarvee
⩞ \perspcorrespond
ℸ \daleth
∟ \rightangle
₹ \inr
$ \usd
€ \eur
¥ \jpy
₪ \nis
₽ \rub
₴ \uah
₺ \try
₿ \btc
∺ \dotsminusdots
≛ \starequal
≜ \triangleq
a̷ \cancela
A̷ \cancelA
b̷ \cancelb
B̷ \cancelB
c̷ \cancelc
C̷ \cancelC
d̷ \canceld
D̷ \cancelD
e̷ \cancele
E̷ \cancelE
f̷ \cancelf
F̷ \cancelF
g̷ \cancelg
G̷ \cancelG
h̷ \cancelh
H̷ \cancelH
i̷ \canceli
I̷ \cancelI
j̷ \cancelj
J̷ \cancelJ
k̷ \cancelk
K̷ \cancelK
l̷ \cancell
L̷ \cancelL
m̷ \cancelm
M̷ \cancelM
n̷ \canceln
N̷ \cancelN
o̷ \cancelo
O̷ \cancelO
p̷ \cancelp
P̷ \cancelP
q̷ \cancelq
Q̷ \cancelQ
r̷ \cancelr
R̷ \cancelR
s̷ \cancels
S̷ \cancelS
t̷ \cancelt
T̷ \cancelT
u̷ \cancelu
U̷ \cancelU
v̷ \cancelv
V̷ \cancelV
w̷ \cancelw
W̷ \cancelW
x̷ \cancelx
X̷ \cancelX
y̷ \cancely
Y̷ \cancelY
z̷ \cancelz
Z̷ \cancelZ
0̷ \cancel0
1̷ \cancel1
2̷ \cancel2
3̷ \cancel3
4̷ \cancel4
5̷ \cancel5
6̷ \cancel6
7̷ \cancel7
8̷ \cancel8
9̷ \cancel9
⊧ \models
⊫ \VDash
⊩ \Vdash
⊪ \Vvdash
⊬ \nvdash
⊭ \nvDash
卐 \swastika
卍 \revSwastika
✝︎ \latinCross
☪︎ \starAndCrescent
✡︎ \starOfDavid
ȧ \dota
ḃ \dotb
ċ \dotc
ḋ \dotd
ė \dote
ḟ \dotf
ġ \dotg
ḣ \doth
i̇ \doti
j̇ \dotj
k̇ \dotk
l̇ \doti
ṁ \dotm
ṅ \dotn
ȯ \doto
ṗ \dotp
q̇ \dotq
ṙ \dotr
ṡ \dots
ṫ \dott
u̇ \dotu
v̇ \dotv
ẇ \dotw
ẋ \dotx
ẏ \doty
ż \dotz
a⃗ \vectora
b⃗ \vectorb
c⃗ \vectorc
d⃗ \vectord
e⃗ \vectore
f⃗ \vectorf
g⃗ \vectorg
h⃗ \vectorh
i⃗ \vectori
j⃗ \vectorj
k⃗ \vectork
l⃗ \vectorl
m⃗ \vectorm
n⃗ \vectorn
o⃗ \vectoro
p⃗ \vectorp
q⃗ \vectorq
r⃗ \vectorr
s⃗ \vectors
t⃗ \vectort
u⃗ \vectoru
v⃗ \vectorv
w⃗ \vectorw
x⃗ \vectorx
y⃗ \vectory
z⃗ \vectorz
A⃗ \vectorA
B⃗ \vectorB
C⃗ \vectorC
D⃗ \vectorD
E⃗ \vectorE
F⃗ \vectorF
G⃗ \vectorG
H⃗ \vectorH
I⃗ \vectorI
J⃗ \vectorJ
K⃗ \vectorK
L⃗ \vectorL
M⃗ \vectorM
N⃗ \vectorN
O⃗ \vectorO
P⃗ \vectorP
Q⃗ \vectorQ
R⃗ \vectorR
S⃗ \vectorS
T⃗ \vectorT
U⃗ \vectorU
V⃗ \vectorV
W⃗ \vectorW
X⃗ \vectorX
Y⃗ \vectorY
Z⃗ \vectorZ
ä \ddota
b̈ \ddotb
c̈ \ddotc
d̈ \ddotd
ë \ddote
f̈ \ddotf
g̈ \ddotg
ḧ \ddoth
ï \ddoti
j̈ \ddotj
k̈ \ddotk
l̈ \ddoti
m̈ \ddotm
n̈ \ddotn
ö \ddoto
p̈ \ddotp
q̈ \ddotq
r̈ \ddotr
s̈ \ddots
ẗ \ddott
ü \ddotu
v̈ \ddotv
ẅ \ddotw
ẍ \ddotx
ÿ \ddoty
z̈ \ddotz
